O*NET-SOC Code,Skill,Importance,Title
15-2021.00,Mathematics,5.0,Mathematicians
23-1023.00,Active Listening,5.0,"Judges, Magistrate Judges, and Magistrates"
53-2011.00,Operation and Control,4.88,"Airline Pilots, Copilots, and Flight Engineers"
21-1013.00,Active Listening,4.88,Marriage and Family Therapists
27-3042.00,Writing,4.88,Technical Writers
27-3041.00,Reading Comprehension,4.88,Editors
23-1023.00,Critical Thinking,4.88,"Judges, Magistrate Judges, and Magistrates"
21-1021.00,Active Listening,4.88,"Child, Family, and School Social Workers"
21-1014.00,Social Perceptiveness,4.88,Mental Health Counselors
27-3043.00,Writing,4.75,Writers and Authors
47-2152.04,Installation,4.75,Solar Thermal Installers and Technicians
21-1014.00,Active Listening,4.75,Mental Health Counselors
19-1029.02,Science,4.75,Molecular and Cellular Biologists
15-1251.00,Programming,4.75,Computer Programmers
23-1022.00,Negotiation,4.75,"Arbitrators, Mediators, and Conciliators"
25-1123.00,Reading Comprehension,4.75,"English Language and Literature Teachers, Postsecondary"
19-1021.00,Science,4.75,Biochemists and Biophysicists
25-1113.00,Instructing,4.75,"Social Work Teachers, Postsecondary"
27-2022.00,Instructing,4.75,Coaches and Scouts
15-2041.00,Mathematics,4.75,Statisticians
25-1111.00,Speaking,4.75,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
27-3043.05,Writing,4.75,"Poets, Lyricists and Creative Writers"
25-1051.00,Speaking,4.75,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
19-3093.00,Reading Comprehension,4.75,Historians
25-1112.00,Speaking,4.62,"Law Teachers, Postsecondary"
23-1011.00,Speaking,4.62,Lawyers
25-1123.00,Instructing,4.62,"English Language and Literature Teachers, Postsecondary"
53-2012.00,Operation and Control,4.62,Commercial Pilots
25-1067.00,Speaking,4.62,"Sociology Teachers, Postsecondary"
53-2011.00,Operations Monitoring,4.62,"Airline Pilots, Copilots, and Flight Engineers"
19-2012.00,Science,4.62,Physicists
25-1081.00,Speaking,4.62,"Education Teachers, Postsecondary"
25-1065.00,Speaking,4.62,"Political Science Teachers, Postsecondary"
19-1029.04,Science,4.62,Biologists
27-3011.00,Speaking,4.62,Broadcast Announcers and Radio Disc Jockeys
23-1011.00,Active Listening,4.62,Lawyers
15-2041.01,Mathematics,4.62,Biostatisticians
21-2011.00,Speaking,4.62,Clergy
25-1121.00,Speaking,4.62,"Art, Drama, and Music Teachers, Postsecondary"
29-1223.00,Active Listening,4.62,Psychiatrists
25-1113.00,Speaking,4.62,"Social Work Teachers, Postsecondary"
13-1075.00,Active Listening,4.5,Labor Relations Specialists
25-1061.00,Speaking,4.5,"Anthropology and Archeology Teachers, Postsecondary"
43-4061.00,Speaking,4.5,"Eligibility Interviewers, Government Programs"
29-1211.00,Critical Thinking,4.5,Anesthesiologists
21-1021.00,Speaking,4.5,"Child, Family, and School Social Workers"
19-1022.00,Science,4.5,Microbiologists
25-1125.00,Speaking,4.5,"History Teachers, Postsecondary"
15-2031.00,Mathematics,4.5,Operations Research Analysts
11-1011.00,Judgment and Decision Making,4.5,Chief Executives
29-1223.00,Social Perceptiveness,4.5,Psychiatrists
19-3033.00,Reading Comprehension,4.5,Clinical and Counseling Psychologists
29-1229.06,Reading Comprehension,4.5,Sports Medicine Physicians
23-1012.00,Reading Comprehension,4.5,Judicial Law Clerks
29-1229.01,Reading Comprehension,4.5,Allergists and Immunologists
19-3091.00,Reading Comprehension,4.38,Anthropologists and Archeologists
25-1121.00,Instructing,4.38,"Art, Drama, and Music Teachers, Postsecondary"
25-1041.00,Instructing,4.38,"Agricultural Sciences Teachers, Postsecondary"
27-2012.00,Active Listening,4.38,Producers and Directors
21-1012.00,Active Listening,4.38,"Educational, Guidance, and Career Counselors and Advisors"
21-2011.00,Active Listening,4.38,Clergy
25-9021.00,Active Listening,4.38,Farm and Home Management Educators
23-1011.00,Reading Comprehension,4.38,Lawyers
13-1075.00,Speaking,4.38,Labor Relations Specialists
11-9032.00,Active Listening,4.38,"Education Administrators, Kindergarten through Secondary"
13-1151.00,Instructing,4.38,Training and Development Specialists
27-2022.00,Speaking,4.38,Coaches and Scouts
19-1029.02,Reading Comprehension,4.38,Molecular and Cellular Biologists
29-1215.00,Critical Thinking,4.38,Family Medicine Physicians
19-1021.00,Reading Comprehension,4.38,Biochemists and Biophysicists
43-9111.00,Mathematics,4.38,Statistical Assistants
11-1011.00,Complex Problem Solving,4.38,Chief Executives
11-9032.00,Speaking,4.38,"Education Administrators, Kindergarten through Secondary"
13-1151.00,Speaking,4.38,Training and Development Specialists
21-1013.00,Social Perceptiveness,4.38,Marriage and Family Therapists
29-1229.06,Active Listening,4.38,Sports Medicine Physicians
23-1022.00,Active Listening,4.38,"Arbitrators, Mediators, and Conciliators"
11-1011.00,Critical Thinking,4.38,Chief Executives
19-1041.00,Science,4.38,Epidemiologists
29-1218.00,Critical Thinking,4.38,Obstetricians and Gynecologists
33-3021.00,Active Listening,4.38,Detectives and Criminal Investigators
11-1011.00,Speaking,4.38,Chief Executives
29-1229.05,Reading Comprehension,4.38,Preventive Medicine Physicians
19-3034.00,Active Listening,4.38,School Psychologists
19-3033.00,Active Listening,4.38,Clinical and Counseling Psychologists
19-3033.00,Critical Thinking,4.38,Clinical and Counseling Psychologists
53-2021.00,Active Listening,4.38,Air Traffic Controllers
11-3131.00,Learning Strategies,4.38,Training and Development Managers
27-3041.00,Writing,4.25,Editors
19-3032.00,Active Listening,4.25,Industrial-Organizational Psychologists
19-1021.00,Writing,4.25,Biochemists and Biophysicists
25-1112.00,Active Listening,4.25,"Law Teachers, Postsecondary"
25-1112.00,Learning Strategies,4.25,"Law Teachers, Postsecondary"
19-3091.00,Writing,4.25,Anthropologists and Archeologists
27-2012.03,Critical Thinking,4.25,Media Programming Directors
19-3094.00,Reading Comprehension,4.25,Political Scientists
25-1082.00,Instructing,4.25,"Library Science Teachers, Postsecondary"
33-3021.00,Speaking,4.25,Detectives and Criminal Investigators
25-1061.00,Reading Comprehension,4.25,"Anthropology and Archeology Teachers, Postsecondary"
49-3011.00,Equipment Maintenance,4.25,Aircraft Mechanics and Service Technicians
25-1112.00,Reading Comprehension,4.25,"Law Teachers, Postsecondary"
25-1081.00,Reading Comprehension,4.25,"Education Teachers, Postsecondary"
25-1054.00,Instructing,4.25,"Physics Teachers, Postsecondary"
25-1061.00,Learning Strategies,4.25,"Anthropology and Archeology Teachers, Postsecondary"
49-3011.00,Repairing,4.25,Aircraft Mechanics and Service Technicians
19-2012.00,Reading Comprehension,4.25,Physicists
25-9031.00,Learning Strategies,4.25,Instructional Coordinators
19-1041.00,Reading Comprehension,4.25,Epidemiologists
19-3033.00,Speaking,4.25,Clinical and Counseling Psychologists
19-2011.00,Science,4.25,Astronomers
19-2012.00,Mathematics,4.25,Physicists
25-1126.00,Reading Comprehension,4.25,"Philosophy and Religion Teachers, Postsecondary"
19-2011.00,Reading Comprehension,4.25,Astronomers
19-3033.00,Social Perceptiveness,4.25,Clinical and Counseling Psychologists
25-1066.00,Learning Strategies,4.25,"Psychology Teachers, Postsecondary"
19-1042.00,Writing,4.25,"Medical Scientists, Except Epidemiologists"
25-1123.00,Writing,4.25,"English Language and Literature Teachers, Postsecondary"
19-3034.00,Reading Comprehension,4.25,School Psychologists
17-2041.00,Science,4.25,Chemical Engineers
25-2021.00,Speaking,4.25,"Elementary School Teachers, Except Special Education"
25-2021.00,Instructing,4.25,"Elementary School Teachers, Except Special Education"
19-3034.00,Speaking,4.25,School Psychologists
25-1072.00,Instructing,4.25,"Nursing Instructors and Teachers, Postsecondary"
19-2031.00,Science,4.25,Chemists
19-1029.03,Reading Comprehension,4.25,Geneticists
41-9041.00,Speaking,4.25,Telemarketers
41-4011.00,Speaking,4.25,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
19-1029.02,Writing,4.25,Molecular and Cellular Biologists
39-6012.00,Service Orientation,4.25,Concierges
19-2041.01,Reading Comprehension,4.25,Climate Change Policy Analysts
41-4011.00,Persuasion,4.25,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
25-3011.00,Instructing,4.25,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors"
25-1125.00,Reading Comprehension,4.25,"History Teachers, Postsecondary"
25-1113.00,Learning Strategies,4.25,"Social Work Teachers, Postsecondary"
25-1062.00,Reading Comprehension,4.25,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
19-1021.00,Critical Thinking,4.25,Biochemists and Biophysicists
19-1041.00,Critical Thinking,4.25,Epidemiologists
19-3032.00,Reading Comprehension,4.25,Industrial-Organizational Psychologists
27-3043.05,Reading Comprehension,4.25,"Poets, Lyricists and Creative Writers"
13-1075.00,Negotiation,4.25,Labor Relations Specialists
29-1223.00,Speaking,4.25,Psychiatrists
23-1012.00,Critical Thinking,4.25,Judicial Law Clerks
53-2021.00,Speaking,4.25,Air Traffic Controllers
29-1299.01,Reading Comprehension,4.25,Naturopathic Physicians
23-1021.00,Reading Comprehension,4.25,"Administrative Law Judges, Adjudicators, and Hearing Officers"
23-1021.00,Active Listening,4.25,"Administrative Law Judges, Adjudicators, and Hearing Officers"
11-9161.00,Complex Problem Solving,4.25,Emergency Management Directors
